,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,43:53,9,21,.429,5,10,.500,12,13,.923,0,8,8,6,2,2,3,3,35,+3
Dereck Lively II,35:23,8,9,.889,0,0,,0,0,,5,11,16,2,0,1,4,3,16,+5
Dante Exum,35:00,6,11,.545,1,4,.250,3,4,.750,1,3,4,6,2,1,3,3,16,+2
Seth Curry,20:28,2,5,.400,1,3,.333,1,1,1.000,1,2,3,2,1,0,0,1,6,+8
Derrick Jones Jr.,6:26,2,4,.500,0,2,.000,1,1,1.000,0,2,2,0,0,3,0,0,5,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,33:58,7,15,.467,5,7,.714,0,0,,0,0,0,4,1,0,2,1,19,+6
Markieff Morris,20:33,2,5,.400,2,4,.500,0,0,,1,2,3,2,2,1,2,1,6,+5
Olivier-Maxence Prosper,18:27,4,7,.571,3,6,.500,0,0,,0,4,4,2,0,1,1,2,11,-5
A.J. Lawson,13:38,2,7,.286,0,4,.000,0,0,,1,0,1,1,0,0,1,0,4,+1
Dwight Powell,12:12,1,2,.500,0,0,,0,0,,1,1,2,2,0,0,1,3,2,+4
Richaun Holmes,Did Not Play
Team Totals,240,43,86,.500,17,40,.425,17,19,.895,10,33,43,27,8,9,17,17,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,12:00,2,5,.400,0,1,.000,7,7,1.000,0,2,2,3,0,0,1,1,11,+5
Dereck Lively II,7:25,3,3,1.000,0,0,,0,0,,1,4,5,1,0,0,0,0,6,+5
Dante Exum,7:51,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,-2
Seth Curry,6:02,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+6
Derrick Jones Jr.,6:26,2,4,.500,0,2,.000,1,1,1.000,0,2,2,0,0,3,0,0,5,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,6:59,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+4
Markieff Morris, 
Olivier-Maxence Prosper,5:34,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5,-1
A.J. Lawson,3:08,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,0,0,+2
Dwight Powell,4:35,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,1,0,0
Richaun Holmes,Did Not Play
Team Totals,60,10,23,.435,1,8,.125,8,8,1.000,3,11,14,7,0,3,2,2,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,7:53,3,4,.750,2,3,.667,4,4,1.000,0,2,2,1,2,0,0,0,12,+7
Dereck Lively II,11:55,1,1,1.000,0,0,,0,0,,1,3,4,1,0,0,1,1,2,+11
Dante Exum,8:27,5,6,.833,1,2,.500,0,0,,1,0,1,1,1,0,0,2,11,+6
Seth Curry,8:04,1,2,.500,0,0,,0,0,,1,0,1,2,1,0,0,1,2,+6
Derrick Jones Jr., 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,8:07,3,3,1.000,3,3,1.000,0,0,,0,0,0,2,0,0,1,0,9,+9
Markieff Morris,3:47,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0,+9
Olivier-Maxence Prosper,5:19,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,1,2,0,+3
A.J. Lawson,6:27,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,+4
Dwight Powell, 
Richaun Holmes,Did Not Play
Team Totals,60,14,21,.667,6,11,.545,4,4,1.000,3,6,9,8,4,1,4,7,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,19:53,5,9,.556,2,4,.500,11,11,1.000,0,4,4,4,2,0,1,1,23,+12
Dereck Lively II,19:20,4,4,1.000,0,0,,0,0,,2,7,9,2,0,0,1,1,8,+16
Dante Exum,16:18,5,8,.625,1,3,.333,0,0,,1,1,2,3,1,0,0,2,11,+4
Seth Curry,14:06,1,3,.333,0,1,.000,0,0,,1,0,1,2,1,0,0,1,2,+12
Derrick Jones Jr.,6:26,2,4,.500,0,2,.000,1,1,1.000,0,2,2,0,0,3,0,0,5,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,15:06,4,6,.667,3,3,1.000,0,0,,0,0,0,2,0,0,1,0,11,+13
Markieff Morris,3:47,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0,+9
Olivier-Maxence Prosper,10:53,2,4,.500,1,3,.333,0,0,,0,2,2,0,0,1,1,2,5,+2
A.J. Lawson,9:35,1,4,.250,0,2,.000,0,0,,1,0,1,0,0,0,1,0,2,+6
Dwight Powell,4:35,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,1,0,0
Richaun Holmes,Did Not Play
Team Totals,120,24,44,.545,7,19,.368,12,12,1.000,6,17,23,15,4,4,6,9,67,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,12:00,2,7,.286,2,4,.500,0,0,,0,2,2,1,0,1,2,0,6,+1
Dereck Lively II,7:21,2,3,.667,0,0,,0,0,,2,2,4,0,0,1,1,1,4,-5
Dante Exum,8:17,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,+4
Seth Curry,5:08,1,2,.500,1,2,.500,1,1,1.000,0,2,2,0,0,0,0,0,4,-2
Derrick Jones Jr., 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,6:52,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+3
Markieff Morris,6:52,2,2,1.000,2,2,1.000,0,0,,0,1,1,1,2,0,1,0,6,+3
Olivier-Maxence Prosper,5:08,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,0,3,-2
A.J. Lawson,3:43,1,3,.333,0,2,.000,0,0,,0,0,0,1,0,0,0,0,2,-3
Dwight Powell,4:39,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0,+6
Richaun Holmes,Did Not Play
Team Totals,60,11,22,.500,6,11,.545,1,1,1.000,2,10,12,7,2,2,5,3,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,12:00,2,5,.400,1,2,.500,1,2,.500,0,2,2,1,0,1,0,2,6,-10
Dereck Lively II,8:41,2,2,1.000,0,0,,0,0,,1,2,3,0,0,0,2,1,4,-6
Dante Exum,10:25,0,1,.000,0,1,.000,3,4,.750,0,0,0,3,1,1,3,1,3,-6
Seth Curry,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Derrick Jones Jr., 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaden Hardy,12:00,2,7,.286,2,4,.500,0,0,,0,0,0,1,1,0,1,1,6,-10
Markieff Morris,9:54,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,1,0,0,0,-7
Olivier-Maxence Prosper,2:26,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-5
A.J. Lawson,0:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Dwight Powell,2:58,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2
Richaun Holmes,Did Not Play
Team Totals,60,8,20,.400,4,10,.400,4,6,.667,2,6,8,5,2,3,6,5,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,24:00,4,12,.333,3,6,.500,1,2,.500,0,4,4,2,0,2,2,2,12,-9
Dereck Lively II,16:02,4,5,.800,0,0,,0,0,,3,4,7,0,0,1,3,2,8,-11
Dante Exum,18:42,1,3,.333,0,1,.000,3,4,.750,0,2,2,3,1,1,3,1,5,-2
