,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,36:44,13,28,.464,5,13,.385,1,2,.500,2,0,2,12,2,0,4,0,32,-8
Saddiq Bey,36:19,5,7,.714,4,6,.667,3,4,.750,3,6,9,1,0,0,0,2,17,-3
Dejounte Murray,34:00,12,19,.632,4,6,.667,2,2,1.000,0,2,2,3,2,0,2,0,30,-7
De'Andre Hunter,30:50,3,10,.300,0,2,.000,6,6,1.000,0,1,1,0,2,0,2,2,12,+6
Clint Capela,30:10,4,13,.308,0,0,,2,2,1.000,8,9,17,4,1,3,2,4,10,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Onyeka Okongwu,27:04,2,4,.500,0,2,.000,1,3,.333,1,3,4,3,0,0,0,3,5,-19
Bogdan Bogdanović,25:16,6,18,.333,2,7,.286,0,0,,0,3,3,0,2,1,0,2,14,-7
Wesley Matthews,12:09,0,2,.000,0,2,.000,1,2,.500,0,1,1,0,2,0,0,0,1,-13
Garrison Mathews,7:28,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-5
Bruno Fernando,Did Not Play
Trent Forrest,Did Not Play
AJ Griffin,Did Not Play
Patty Mills,Did Not Play
Team Totals,240,45,101,.446,15,38,.395,16,21,.762,15,25,40,23,11,4,11,14,121,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,7:44,3,7,.429,1,3,.333,0,0,,1,0,1,4,0,0,1,0,7,-2
Saddiq Bey,7:44,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-2
Dejounte Murray,9:47,4,5,.800,2,2,1.000,0,0,,0,2,2,1,1,0,1,0,10,0
De'Andre Hunter,8:13,3,5,.600,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,8,+4
Clint Capela,7:07,0,1,.000,0,0,,2,2,1.000,1,1,2,3,0,1,0,0,2,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Onyeka Okongwu,4:53,0,0,,0,0,,1,1,1.000,0,1,1,1,0,0,0,0,1,-11
Bogdan Bogdanović,6:29,4,5,.800,0,0,,0,0,,0,0,0,0,1,0,0,1,8,-8
Wesley Matthews,3:47,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-9
Garrison Mathews,4:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Bruno Fernando,Did Not Play
Trent Forrest,Did Not Play
AJ Griffin,Did Not Play
Patty Mills,Did Not Play
Team Totals,60,14,24,.583,3,6,.500,6,7,.857,3,5,8,9,2,1,3,2,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,9:58,5,8,.625,2,3,.667,1,2,.500,0,0,0,2,1,0,1,0,13,+4
Saddiq Bey,8:59,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-1
Dejounte Murray,7:20,3,5,.600,2,3,.667,0,0,,0,0,0,0,0,0,0,0,8,-2
De'Andre Hunter,7:53,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,0,1,0,+3
Clint Capela,8:59,1,6,.167,0,0,,0,0,,4,4,8,0,0,1,1,2,2,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Onyeka Okongwu,7:08,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0
Bogdan Bogdanović,6:42,0,3,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0
Wesley Matthews,3:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
