,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,43:07,6,12,.500,3,6,.500,1,2,.500,2,7,9,3,1,0,2,4,16,-10
Jalen Brunson,38:46,10,21,.476,3,7,.429,3,5,.600,0,3,3,4,1,0,2,0,26,-20
Julius Randle,37:43,7,19,.368,2,8,.250,9,11,.818,3,6,9,5,0,0,3,4,25,-10
Mitchell Robinson,33:11,2,2,1.000,0,0,,0,2,.000,3,3,6,1,1,2,1,2,4,-14
Quentin Grimes,28:25,4,6,.667,4,6,.667,0,0,,0,0,0,1,0,0,0,2,12,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Immanuel Quickley,25:34,1,10,.100,1,2,.500,4,4,1.000,0,6,6,1,1,0,0,3,7,-12
Donte DiVincenzo,16:24,2,6,.333,1,4,.250,0,0,,1,0,1,1,0,0,0,1,5,-3
Isaiah Hartenstein,14:49,1,2,.500,1,1,1.000,0,0,,3,0,3,1,1,0,0,0,3,-2
Miles McBride,1:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Jericho Sims,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Ryan Arcidiacono,Did Not Play
RJ Barrett,Did Not Dress
DaQuan Jeffries,Did Not Play
Team Totals,240,33,79,.418,15,35,.429,17,24,.708,12,25,37,17,5,2,8,16,98,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,11:09,1,3,.333,0,1,.000,0,0,,1,2,3,2,0,0,0,0,2,-1
Jalen Brunson,12:00,5,9,.556,1,2,.500,0,0,,0,1,1,1,0,0,1,0,11,-1
Julius Randle,7:40,2,6,.333,1,3,.333,1,2,.500,1,2,3,0,0,0,0,2,6,+3
Mitchell Robinson,11:22,1,1,1.000,0,0,,0,0,,3,1,4,0,1,0,0,0,2,+2
Quentin Grimes,8:46,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Immanuel Quickley,5:11,0,5,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Donte DiVincenzo,3:14,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-4
